date,session_key,meeting_key,driver_number,position
2023-03-05T15:24:48.868000+00:00,7953,1141,27,19
2023-03-05T15:24:48.868000+00:00,7953,1141,24,20
2023-03-05T15:24:52.180000+00:00,7953,1141,44,8
2023-03-05T15:24:52.180000+00:00,7953,1141,81,9
2023-03-05T15:25:04.305000+00:00,7953,1141,20,9
2023-03-05T15:25:04.305000+00:00,7953,1141,81,10
2023-03-05T15:25:07.102000+00:00,7953,1141,11,2
2023-03-05T15:25:07.102000+00:00,7953,1141,16,3
2023-03-05T15:25:08.602000+00:00,7953,1141,77,10
2023-03-05T15:25:08.602000+00:00,7953,1141,81,11
2023-03-05T15:25:24.867000+00:00,7953,1141,63,7
2023-03-05T15:25:24.867000+00:00,7953,1141,18,6
2023-03-05T15:25:27.632000+00:00,7953,1141,16,4
2023-03-05T15:25:27.632000+00:00,7953,1141,55,5
2023-03-05T15:25:27.632000+00:00,7953,1141,14,3
2023-03-05T15:25:29.367000+00:00,7953,1141,16,5
2023-03-05T15:25:29.367000+00:00,7953,1141,55,6
2023-03-05T15:25:29.367000+00:00,7953,1141,18,4
2023-03-05T15:25:41.773000+00:00,7953,1141,23,11
2023-03-05T15:25:41.773000+00:00,7953,1141,81,12
2023-03-05T15:25:42.304000+00:00,7953,1141,31,12
2023-03-05T15:25:42.304000+00:00,7953,1141,81,13
2023-03-05T15:25:46.445000+00:00,7953,1141,63,8
2023-03-05T15:25:46.445000+00:00,7953,1141,44,7
2023-03-05T15:25:50.554000+00:00,7953,1141,63,9
2023-03-05T15:25:50.554000+00:00,7953,1141,20,8
2023-03-05T15:25:50.695000+00:00,7953,1141,63,10
2023-03-05T15:25:50.695000+00:00,7953,1141,77,9
2023-03-05T15:25:53.210000+00:00,7953,1141,22,13
2023-03-05T15:25:53.210000+00:00,7953,1141,81,14
2023-03-05T15:25:54.148000+00:00,7953,1141,77,8
2023-03-05T15:25:54.148000+00:00,7953,1141,20,9
2023-03-05T15:25:57.101000+00:00,7953,1141,81,15
2023-03-05T15:25:57.101000+00:00,7953,1141,10,14
2023-03-05T15:25:58.210000+00:00,7953,1141,2,15
2023-03-05T15:25:58.210000+00:00,7953,1141,81,16
2023-03-05T15:26:07.554000+00:00,7953,1141,4,16
2023-03-05T15:26:07.554000+00:00,7953,1141,81,17
2023-03-05T15:26:09.100000+00:00,7953,1141,81,18
2023-03-05T15:26:09.100000+00:00,7953,1141,21,17
2023-03-05T15:26:09.944000+00:00,7953,1141,27,18
2023-03-05T15:26:09.944000+00:00,7953,1141,81,19
2023-03-05T15:26:10.038000+00:00,7953,1141,24,19
2023-03-05T15:26:10.038000+00:00,7953,1141,81,20
2023-03-05T15:26:18.413000+00:00,7953,1141,27,19
2023-03-05T15:26:18.413000+00:00,7953,1141,24,18
2023-03-05T15:26:33.006000+00:00,7953,1141,27,18
2023-03-05T15:26:33.006000+00:00,7953,1141,24,19
2023-03-05T15:26:50.787000+00:00,7953,1141,1,2
2023-03-05T15:26:50.787000+00:00,7953,1141,11,1
2023-03-05T15:27:04.678000+00:00,7953,1141,14,4
2023-03-05T15:27:04.678000+00:00,7953,1141,18,3
2023-03-05T15:27:12.162000+00:00,7953,1141,16,4
2023-03-05T15:27:12.162000+00:00,7953,1141,14,5
2023-03-05T15:27:23.302000+00:00,7953,1141,55,5
2023-03-05T15:27:23.302000+00:00,7953,1141,14,6
2023-03-05T15:27:24.708000+00:00,7953,1141,14,7
2023-03-05T15:27:24.708000+00:00,7953,1141,44,6
2023-03-05T15:27:30.708000+00:00,7953,1141,14,8
2023-03-05T15:27:30.708000+00:00,7953,1141,77,7
2023-03-05T15:27:35.896000+00:00,7953,1141,63,9
2023-03-05T15:27:35.896000+00:00,7953,1141,20,10
2023-03-05T15:28:45.691000+00:00,7953,1141,16,3
2023-03-05T15:28:45.691000+00:00,7953,1141,18,4
2023-03-05T15:29:01.285000+00:00,7953,1141,55,4
2023-03-05T15:29:01.285000+00:00,7953,1141,18,5
2023-03-05T15:29:03.254000+00:00,7953,1141,44,5
2023-03-05T15:29:03.254000+00:00,7953,1141,18,6
2023-03-05T15:29:07.894000+00:00,7953,1141,18,7
2023-03-05T15:29:07.894000+00:00,7953,1141,77,6
